register_number	alias	entry_value_or_relation	first_read	first_write	consumed_before_first_write	source_owner	production_stage	profile_scope	ipl3_family_scope	reset_scope	materialization_class	current_fn64_owner	evidence	status	limitations
0	zero	0	architectural reads	writes discarded	yes	architecture	CPU construction	all	x105	all	architectural	Cpu	VR4300 manual; current cpu/registers.rs	PROVEN	none
1	at	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
2	v0	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
3	v1	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
4	a0	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
5	a1	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
6	a2	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
7	a3	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
8	t0	overwritten first	0xA400004C	0xA4000044	no	cartridge instruction	IPL3	supported profile	x105	cold	none	unknown until instruction result	pinned ipl3 source	OVERWRITTEN_FIRST	initial value irrelevant
9	t1	overwritten first	0xA4000044	0xA4000040	no	cartridge instruction	IPL3	supported profile	x105	cold	none	unknown until instruction result	pinned ipl3 source	OVERWRITTEN_FIRST	initial value irrelevant
10	t2	overwritten first	0xA400004C	0xA4000048	no	cartridge instruction	IPL3	supported profile	x105	cold	none	unknown until instruction result	pinned ipl3 source	OVERWRITTEN_FIRST	initial value irrelevant
11	t3	0xFFFFFFFFA4000040	0xA4000048	0xA4000054	yes	PIF IPL2 handoff entry pointer	final IPL2 transfer	all pinned profiles	x105	cold	coupled	PifIpl2HandoffEntryPointer	pifrom final jr; x105 t3-relative load	PROVEN	coupled product currently supports NTSC only; stale absolute inline comment corrected by arithmetic
12	t4	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
13	t5	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
14	t6	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
15	t7	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
16	s0	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
17	s1	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
18	s2	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
19	s3	0	common cold frame store	later repurpose	yes	cartridge boot medium	IPL2 boot-word parse	all pinned profiles	x105	cold cartridge	coupled	CartridgeBootMedium	pifrom bit 19; ipl3 cold frame	PROVEN	DD unsupported
20	s4	1 for NTSC_PINNED	common cold frame store	later repurpose	yes	PIF profile TV relation	IPL2 profile path	NTSC_PINNED	x105	cold	coupled	PifProfileTvType(NTSC_PINNED)	pifrom profile conditional; ipl3 cold frame	PROVEN	PAL and MPAL product paths unsupported
21	s5	0	common cold frame store	later repurpose	yes	cold reset kind	IPL2 boot-word parse	all pinned profiles	x105	cold	coupled	ColdResetKind	pifrom bit 17; ipl3 cold frame	PROVEN	NMI unsupported
22	s6	0x91	common cold frame store	later repurpose	yes	x105 seed relation	PIF/CIC boot-word input	all pinned profiles	x105	cold	coupled	X105Seed	pifrom bits 8..15; CEN64 x105 seed	PROVEN	explicit x105 selector required
23	s7	PIF version bit for NTSC_PINNED	common cold frame store	later repurpose	yes	PIF version plus regional mask	IPL2 boot-word/profile combine	NTSC_PINNED	x105	cold	coupled	PifVersionRegionalState(NTSC_PINNED,explicit bit)	pifrom bit 18 and regional conditional	PROVEN	explicit version bit required
24	t8	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
25	t9	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
26	k0	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
27	k1	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
28	gp	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
29	sp	0xFFFFFFFFA4001FF0	0xA4000040	common cold frame adjustment	yes	PIF IPL2 restored stack pointer	IPL1 setup plus balanced IPL2 frames	all pinned profiles	x105	cold	coupled	PifIpl2RestoredStackPointer	pifrom stack setup and balanced restore	PROVEN	final lineage replaces the earlier approximate owner
30	s8	unstaged	none in bounded window	overwritten later	no	unknown	outside window	all	x105	cold	none	unknown source	pinned ipl3 source audit	UNUSED	value deliberately not fabricated
31	ra	0xFFFFFFFFA4001550 for NTSC_PINNED	0xA4000074	first later jal	yes	PIF IPL2 retained link	final CalcChecksum bal	NTSC_PINNED	x105	cold	coupled	PifIpl2RetainedLink(NTSC_PINNED,0xA4001548)	pinned link site; VR4300 PC+8; Mupen HLE	PROVEN	PAL and MPAL withheld
